IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.18.25.103,443,443,true,ST,CN,Hangzhou,40.21,100
104.18.13.133,443,443,true,ST,CN,Hangzhou,40.47,100
172.64.152.66,443,443,true,ST,CN,Hangzhou,48.1,100
172.64.146.229,443,443,true,ST,CN,Hangzhou,73.43,100
172.64.84.170,443,443,true,ST,CN,Hangzhou,90.7,100
172.64.90.88,443,443,true,ST,CN,Hangzhou,119.46,100
162.159.24.7,443,443,true,ST,CN,Hangzhou,119.64,100
162.159.13.14,443,443,true,ST,CN,Hangzhou,122.44,100
162.159.8.145,443,443,true,ST,CN,Hangzhou,122.57,100
108.162.198.210,443,443,true,ST,CN,Hangzhou,122.89,100
